date,global,north,south
186503,-0.22,-0.44,-0.01
186504,-0.27,-0.45,-0.08
186505,-0.24,-0.35,-0.13
186506,-0.05,-0.07,-0.02
186507,0.00,-0.01,0.01
186508,0.03,0.01,0.04
186509,-0.01,0.00,-0.03
186510,-0.07,-0.02,-0.11
186511,-0.07,-0.08,-0.06
186512,-0.06,-0.12,0.01
186601,0.02,0.09,-0.06
186602,0.02,0.07,-0.04
186603,-0.14,-0.29,0.00
186604,-0.18,-0.37,0.00
186605,-0.18,-0.26,-0.10
186606,-0.12,-0.17,-0.08
186607,-0.01,-0.01,0.00
186608,-0.18,-0.26,-0.11
186609,-0.13,-0.13,-0.14
186610,-0.19,-0.38,0.00
186611,-0.13,-0.15,-0.12
186612,-0.01,0.17,-0.19
186701,-0.17,-0.23,-0.11
186702,-0.31,-0.50,-0.11
186703,-0.26,-0.44,-0.08
186704,-0.41,-0.69,-0.13
186705,-0.36,-0.65,-0.08
186706,-0.14,-0.19,-0.08
186707,-0.19,-0.23,-0.14
186708,-0.04,-0.06,-0.03
186709,-0.02,-0.10,0.06
186710,-0.11,-0.22,0.00
186711,-0.08,0.00,-0.16
186712,-0.20,-0.23,-0.17
186801,-0.38,-0.55,-0.20
186802,-0.25,-0.32,-0.17
186803,-0.08,-0.16,0.00
186804,-0.21,-0.33,-0.08
186805,-0.12,-0.09,-0.15
186806,-0.03,-0.02,-0.04
186807,-0.08,-0.07,-0.10
186808,-0.02,-0.07,0.04
186809,-0.09,-0.22,0.03
186810,-0.05,-0.21,0.10
186811,-0.29,-0.49,-0.09
186812,-0.06,-0.13,0.02
186901,0.03,0.06,0.01
186902,0.11,0.24,-0.02
186903,-0.04,-0.08,-0.01
186904,-0.17,-0.27,-0.07
186905,-0.05,-0.05,-0.05
186906,-0.05,0.00,-0.10
186907,-0.09,-0.01,-0.16
186908,-0.15,-0.02,-0.28
186909,-0.16,-0.07,-0.24
186910,-0.20,-0.22,-0.17
186911,0.05,0.11,-0.02
186912,-0.05,-0.12,0.02
187001,-0.16,-0.33,0.02
187002,-0.28,-0.41,-0.15
187003,-0.14,-0.15,-0.13
187004,-0.21,-0.27,-0.15
187005,-0.14,-0.08,-0.20
187006,-0.04,0.04,-0.12
187007,-0.02,0.04,-0.08
187008,-0.02,-0.06,0.03
187009,-0.12,-0.04,-0.19
187010,-0.27,-0.33,-0.21
187011,-0.24,-0.31,-0.18
187012,-0.35,-0.58,-0.11
187101,-0.35,-0.60,-0.10
187102,-0.32,-0.60,-0.05
187103,-0.02,0.04,-0.08
187104,-0.01,0.03,-0.04
187105,-0.13,-0.14,-0.12
187106,0.01,-0.01,0.02
187107,-0.02,-0.04,0.00
187108,-0.08,-0.08,-0.09
187109,-0.22,-0.29,-0.14
187110,-0.28,-0.39,-0.16
187111,-0.29,-0.57,-0.02
187112,-0.19,-0.40,0.02
187201,-0.27,-0.46,-0.08
187202,-0.27,-0.42,-0.12
187203,-0.16,-0.24,-0.08
187204,-0.31,-0.40,-0.22
187205,-0.18,-0.17,-0.19
187206,-0.12,-0.22,-0.02
187207,-0.10,-0.07,-0.13
187208,-0.01,-0.02,0.00
187209,-0.11,-0.14,-0.08
187210,-0.21,-0.34,-0.08
187211,-0.28,-0.45,-0.11
187212,-0.30,-0.50,-0.10
187301,-0.21,-0.34,-0.08
187302,-0.22,-0.28,-0.16
187303,-0.40,-0.48,-0.31
187304,-0.43,-0.55,-0.30
187305,-0.24,-0.17,-0.31
187306,-0.10,-0.10,-0.09
187307,-0.07,-0.07,-0.08
187308,-0.04,-0.08,0.00
187309,-0.11,-0.22,0.01
187310,-0.12,-0.11,-0.14
187311,-0.21,-0.19,-0.23
187312,-0.20,-0.18,-0.22
187401,-0.21,-0.22,-0.20
187402,-0.21,-0.22,-0.19
187403,-0.38,-0.48,-0.28
187404,-0.29,-0.33,-0.26
187405,-0.35,-0.18,-0.53
187406,-0.16,-0.15,-0.18
187407,-0.23,-0.26,-0.21
187408,-0.20,-0.23,-0.18
187409,-0.14,-0.06,-0.22
187410,-0.18,-0.28,-0.08
187411,-0.30,-0.33,-0.27
187412,-0.09,-0.03,-0.14
187501,-0.13,-0.23,-0.03
187502,-0.21,-0.36,-0.07
187503,-0.21,-0.31,-0.11
187504,-0.19,-0.36,-0.01
187505,-0.21,-0.29,-0.13
187506,-0.10,-0.06,-0.14
187507,-0.09,-0.08,-0.10
187508,-0.16,-0.22,-0.10
187509,-0.21,-0.37,-0.06
187510,-0.22,-0.36,-0.07
187511,-0.41,-0.63,-0.20
187512,-0.46,-0.72,-0.21
187601,-0.23,-0.33,-0.12
187602,-0.41,-0.57,-0.26
187603,-0.19,-0.29,-0.08
187604,-0.30,-0.40,-0.20
187605,-0.48,-0.62,-0.35
187606,-0.12,0.03,-0.28
187607,-0.17,-0.11,-0.23
187608,-0.18,-0.11,-0.24
187609,-0.19,-0.22,-0.15
187610,-0.11,-0.10,-0.11
187611,-0.29,-0.33,-0.25
187612,-0.25,-0.37,-0.12
187701,-0.09,-0.16,-0.03
187702,-0.07,-0.16,0.03
187703,0.10,0.14,0.06
187704,-0.03,-0.08,0.01
187705,0.03,0.12,-0.07
187706,0.10,0.22,-0.01
187707,0.29,0.36,0.22
187708,0.15,0.21,0.08
187709,0.18,0.22,0.14
187710,0.26,0.29,0.23
187711,0.33,0.43,0.23
187712,0.15,0.08,0.22
187801,0.14,0.04,0.24
187802,0.21,0.18,0.24
187803,0.42,0.63,0.21
187804,0.15,0.21,0.10
187805,0.05,0.09,0.01
187806,0.24,0.40,0.08
187807,0.22,0.27,0.17
187808,0.09,0.14,0.05
187809,0.10,0.07,0.14
187810,-0.06,-0.22,0.09
187811,-0.08,-0.17,0.00
187812,-0.02,0.02,-0.07
187901,-0.05,-0.02,-0.08
187902,-0.14,-0.17,-0.11
187903,-0.04,0.05,-0.13
187904,-0.15,-0.13,-0.16
187905,-0.09,-0.05,-0.14
187906,-0.07,-0.06,-0.08
187907,-0.01,0.00,-0.01
187908,-0.16,-0.34,0.02
187909,-0.17,-0.24,-0.09
187910,-0.20,-0.27,-0.13
187911,-0.28,-0.43,-0.14
187912,-0.32,-0.62,-0.02
188001,-0.30,-0.57,-0.04
188002,-0.39,-0.72,-0.06
188003,-0.15,-0.30,0.00
188004,-0.10,-0.19,0.00
188005,-0.12,-0.10,-0.14
188006,-0.12,-0.07,-0.16
188007,-0.20,-0.22,-0.18
188008,-0.04,-0.18,0.11
188009,-0.14,-0.23,-0.05
188010,-0.24,-0.35,-0.12
188011,-0.20,-0.32,-0.09
188012,-0.12,-0.20,-0.03
188101,-0.11,-0.14,-0.07
188102,-0.13,-0.14,-0.13
188103,-0.05,-0.13,0.04
188104,0.03,0.02,0.05
188105,0.07,0.01,0.13
188106,-0.15,-0.29,-0.01
188107,0.00,0.08,-0.08
188108,-0.08,-0.12,-0.05
188109,-0.19,-0.32,-0.06
188110,-0.27,-0.53,0.00
188111,-0.27,-0.53,-0.02
188112,0.00,-0.08,0.08
188201,0.10,0.15,0.04
188202,-0.09,-0.23,0.05
188203,-0.06,-0.19,0.08
188204,-0.20,-0.42,0.02
188205,-0.10,-0.18,-0.02
188206,-0.24,-0.36,-0.12
188207,-0.21,-0.36,-0.07
188208,-0.11,-0.22,0.00
188209,-0.16,-0.26,-0.06
188210,-0.30,-0.64,0.04
188211,-0.26,-0.45,-0.07
188212,-0.27,-0.44,-0.09
188301,-0.18,-0.29,-0.07
188302,-0.33,-0.48,-0.18
188303,-0.11,-0.07,-0.14
188304,-0.20,-0.33,-0.08
188305,-0.15,-0.25,-0.05
188306,0.05,-0.01,0.11
188307,-0.08,-0.15,-0.02
188308,-0.24,-0.34,-0.14
188309,-0.27,-0.41,-0.13
188310,-0.27,-0.47,-0.07
188311,-0.26,-0.43,-0.09
188312,-0.23,-0.30,-0.15
188401,-0.22,-0.26,-0.17
188402,-0.14,-0.14,-0.14
188403,-0.41,-0.59,-0.23
188404,-0.40,-0.62,-0.17
188405,-0.31,-0.41,-0.21
188406,-0.26,-0.36,-0.16
188407,-0.33,-0.44,-0.21
188408,-0.30,-0.57,-0.03
188409,-0.34,-0.54,-0.13
188410,-0.38,-0.61,-0.15
188411,-0.38,-0.59,-0.18
188412,-0.09,0.06,-0.24
188501,-0.40,-0.61,-0.19
188502,-0.28,-0.36,-0.20
188503,-0.36,-0.34,-0.39
188504,-0.42,-0.56,-0.29
188505,-0.28,-0.41,-0.15
188506,-0.37,-0.36,-0.37
188507,-0.26,-0.26,-0.26
188508,-0.19,-0.28,-0.10
188509,-0.28,-0.40,-0.16
188510,-0.26,-0.40,-0.11
188511,-0.27,-0.42,-0.13
188512,-0.07,-0.04,-0.09
188601,-0.30,-0.44,-0.15
188602,-0.36,-0.50,-0.23
188603,-0.45,-0.69,-0.22
188604,-0.25,-0.39,-0.12
188605,-0.25,-0.36,-0.14
